ethereum_address,github_username,impact_percentage
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,jo-elimu,59.49
0x52671Ed206B7789f30F2Fc36e73E24702d2C9B41,saharulik,20.90
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,coderabbitai,11.49
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,nya-elimu,8.13
