ethereum_address,github_username,impact_percentage
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,jo-elimu,61.28
0x52671Ed206B7789f30F2Fc36e73E24702d2C9B41,saharulik,22.07
,coderabbitai,10.28
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,nya-elimu,6.38
